ensgene	avg_exp	syn_z	mis_z	lof_z	pLI	bin
ENSG00000000971	0.178961504028648	-1.05696358546822	0.557695518287623	5.86166390364157	0.99963096815145	[0.1,10)
ENSG00000001617	0.00790510295434199	0.687314391176985	2.67963057719032	5.54651031125206	0.999917700468544	[0,0.1)
ENSG00000001629	9.08780662488809	0.24617813224857	2.43413005668544	5.46847258221419	0.999885674650132	[0.1,10)
ENSG00000002746	0.103240823634736	1.4191151377541	3.61873247654912	7.28581012827185	0.999999893537852	[0.1,10)
ENSG00000003137	0.0369829901521934	0.065680177489183	2.06357838377173	3.03837271732967	0.954353506649453	[0,0.1)
ENSG00000003402	184.204700089526	0.196743512550173	2.11089589057331	4.76548720877206	0.999719869699545	[10,1e+04)
ENSG00000003756	57.3587555953447	1.14938913560333	4.28789795342576	6.44566735929333	0.999999469802352	[10,1e+04)
ENSG00000004399	15.0922291853178	2.04655425126092	4.48122686785259	6.60741128022603	0.999989724505468	[10,1e+04)
ENSG00000004478	86.6385049239033	-0.496430330664065	1.07267048940665	3.5910824888991	0.927473130653813	[10,1e+04)
ENSG00000004487	11.7812891674127	0.947449431194655	5.55572106436225	5.10841221029378	0.991027964686515	[10,1e+04)
ENSG00000004534	32.0054879140555	0.876070242224476	1.35336512739515	6.96923904481082	0.999999963583324	[10,1e+04)
ENSG00000004766	1.90995523724261	0.0554656535296926	1.73929933068672	5.59716359652003	0.991409342401086	[0.1,10)
ENSG00000004866	1.50624888093107	0.1743452909791	3.15839820669157	4.74258985595801	0.998051871776655	[0.1,10)
ENSG00000004939	115.135559534467	-0.198711423771191	1.69531471304934	4.4670779124709	0.909484294882695	[10,1e+04)
ENSG00000004961	18.8887018800358	0.595545599050691	0.830395082454098	3.00202845285014	0.950550391243934	[10,1e+04)
ENSG00000005007	7.82109221128021	1.44643441692594	7.38074442631186	5.57175670899865	0.999926075341711	[0.1,10)
ENSG00000005020	93.4844136078782	-0.25757029316469	0.309232444677834	3.50463339283964	0.909797277702382	[10,1e+04)
ENSG00000005108	0.0413249776186213	-1.78207966642751	-2.3434315314014	6.92517807634207	0.999280748692625	[0,0.1)
ENSG00000005249	27.5267681289167	0.834478929789967	2.76831260253334	3.91299536639388	0.995321215882976	[10,1e+04)
ENSG00000005302	93.3587287376902	0.774178376624602	1.99139963673495	3.34398259006791	0.945646874379395	[10,1e+04)
ENSG00000005339	33.5948343777977	-1.52309209285595	5.58352326939171	8.95871000155958	0.999999999999794	[10,1e+04)
ENSG00000005483	3.82824529991047	-2.80780888956072	0.0784329394627183	7.15856418841329	0.999999994702687	[0.1,10)
