ensgene	multi	variable	value
ENSG00000180008	yes	syn_z	0.214731046509271
ENSG00000124209	yes	syn_z	0.605805777532104
ENSG00000064703	yes	syn_z	0.798463344360599
ENSG00000171408	yes	syn_z	-0.0266802565545234
ENSG00000243772	no	syn_z	2.25413099283028
ENSG00000111837	yes	syn_z	0.665544194729357
ENSG00000110514	yes	syn_z	-0.00478085798041133
ENSG00000247077	yes	syn_z	-0.890264301906182
ENSG00000076864	yes	syn_z	0.644635664303074
ENSG00000086015	yes	syn_z	-1.34026938211261
ENSG00000129351	yes	syn_z	0.0882349117529387
ENSG00000168032	yes	syn_z	0.204115281581718
ENSG00000167747	yes	syn_z	-0.150276980884409
ENSG00000168036	yes	syn_z	0.0716553508860489
ENSG00000167740	yes	syn_z	0.499921940875656
ENSG00000168038	yes	syn_z	-1.07750498789792
ENSG00000167749	yes	syn_z	1.83939332038686
ENSG00000112149	yes	syn_z	-0.565443444987433
ENSG00000084674	yes	syn_z	-2.24386664935524
ENSG00000148053	yes	syn_z	0.650948807314881
ENSG00000124201	yes	syn_z	-1.89472168997607
ENSG00000163216	yes	syn_z	-0.335283379544845
ENSG00000108784	yes	syn_z	-0.363621835287462
ENSG00000213995	yes	syn_z	0.0649653344354995
ENSG00000087494	yes	syn_z	0.774655050745697
ENSG00000087495	yes	syn_z	-0.718459851500025
ENSG00000204677	yes	syn_z	1.97037187351714
ENSG00000169740	yes	syn_z	0.888125908225461
ENSG00000261609	yes	syn_z	-1.40009497753909
ENSG00000169744	yes	syn_z	0.659695095549696
ENSG00000082458	yes	syn_z	-0.397339721444449
ENSG00000177565	yes	syn_z	-0.92880398045597
ENSG00000100426	yes	syn_z	-0.207778232316005
ENSG00000059804	yes	syn_z	0.60901490835746
ENSG00000168297	yes	syn_z	0.555713562044721
ENSG00000168291	yes	syn_z	-1.00043731180653
ENSG00000175707	yes	syn_z	-0.704889179433466
ENSG00000105879	yes	syn_z	-2.26863549527548
ENSG00000120903	yes	syn_z	0.478023573413828
ENSG00000085117	yes	syn_z	0.309447864163566
ENSG00000105875	yes	syn_z	0.696464957093155
ENSG00000135074	yes	syn_z	0.431978826482922
ENSG00000135077	yes	syn_z	-0.371970805023551
ENSG00000131023	yes	syn_z	-0.573876994792141
ENSG00000142273	yes	syn_z	0.533733318911663
ENSG00000112144	yes	syn_z	-0.736901301394773
ENSG00000131759	yes	syn_z	-0.867321145040882
ENSG00000142279	yes	syn_z	-0.0456683717281577
ENSG00000146083	yes	syn_z	-1.3144033478418
ENSG00000136250	yes	syn_z	1.37422863832746
ENSG00000149792	yes	syn_z	-0.531486363795261
ENSG00000149021	yes	syn_z	-0.58568064578815
ENSG00000146085	yes	syn_z	-0.498228739300454
ENSG00000132591	yes	syn_z	0.719474163925249
ENSG00000102471	yes	syn_z	1.88089598042581
ENSG00000149798	yes	syn_z	0.479706974286779
ENSG00000177700	yes	syn_z	-1.33650980537201
ENSG00000177706	yes	syn_z	-0.432569396316186
ENSG00000177707	yes	syn_z	-0.719936344109958
ENSG00000177025	yes	syn_z	0.0501690865794687
ENSG00000205765	yes	syn_z	-0.102925303804084
ENSG00000196116	yes	syn_z	-0.749658627410045
ENSG00000187961	yes	syn_z	-3.45762228519753
ENSG00000147689	yes	syn_z	1.18491580825463
ENSG00000147687	yes	syn_z	0.00198851112484593
ENSG00000147684	yes	syn_z	0.308617610573998
ENSG00000125409	no	syn_z	0.434112582762666
ENSG00000188342	yes	syn_z	-0.914236223234663
ENSG00000188343	yes	syn_z	0.0577244976604634
ENSG00000114529	yes	syn_z	0.179794414239942
ENSG00000147174	yes	syn_z	1.34351249739378
ENSG00000082068	yes	syn_z	0.428246800789307
ENSG00000135617	yes	syn_z	0.621319408370013
ENSG00000162849	no	syn_z	0.386248614203149
ENSG00000114520	yes	syn_z	-0.877831138119103
ENSG00000166839	yes	syn_z	-0.704543420138502
ENSG00000145198	yes	syn_z	-1.42488353278092
ENSG00000149243	yes	syn_z	1.02325233686761
ENSG00000184702	yes	syn_z	0.409056642623289
ENSG00000169813	yes	syn_z	-1.2056831425786
ENSG00000145191	yes	syn_z	0.707106677330793
ENSG00000145192	yes	syn_z	1.52513360655099
ENSG00000069956	yes	syn_z	-1.62458346521729
ENSG00000145194	yes	syn_z	-0.294933543612745
ENSG00000115694	yes	syn_z	-0.102072034418649
ENSG00000169814	yes	syn_z	0.273954089978998
ENSG00000163462	yes	syn_z	0.757008336275452
ENSG00000214114	yes	syn_z	0.590289593484653
ENSG00000163464	yes	syn_z	-0.205455168358471
ENSG00000163466	yes	syn_z	1.44827352246899
ENSG00000170946	yes	syn_z	0.881304872667947
ENSG00000163468	yes	syn_z	-0.648921140935874
ENSG00000167741	yes	syn_z	-0.493325965357583
ENSG00000141682	yes	syn_z	-0.00917679365541776
ENSG00000125531	no	syn_z	0.403032246464033
